,Unnamed: 0,CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change,No_of_Reassignments_sum,Handle_Time_hrs_sum
1320,35863,APP000004,application,Citrix,WBS000292,IM0036173,Closed,3,3,3.0,0.091125249,incident,KM0000911,closed,0.0,12/2/2024 7:58,,12/2/2024 9:16,12/2/2024 9:16,"13,025",Software,1.0,SD0109938,,1.0,C00014221,0,38
1325,15718,APP000004,application,Citrix,WBS000098,IM0015930,Closed,2,2,2.0,0.76433086,incident,KM0000917,closed,0.0,22-11-2023 07:27,,22-11-2023 09:16,22-11-2023 09:16,"1,81,27,77,778",Software,8.0,#MULTIVALUE,2.0,1.0,C00006401,0,964
1442,38444,APP000005,application,Citrix,WBS000292,IM0038765,Closed,4,4,4.0,0.48792195,incident,KM0000143,closed,0.0,21-02-2024 12:05,,21-02-2024 14:33,21-02-2024 14:33,"2,46,88,88,889",Software,1.0,SD0118103,,1.0,C00014762,0,1113
1583,11169,APP000002,application,Citrix,WBS000098,IM0011345,Closed,3,3,3.0,0.241602748,incident,KM0000970,closed,1.0,6/11/2023 11:17,,6/11/2023 12:29,6/11/2023 12:31,"1,23,58,33,333",Operator error,1.0,SD0031727,,1.0,C00000360,0,448
1593,38010,APP000002,application,Citrix,WBS000292,IM0038327,Closed,4,4,4.0,0.810532997,incident,KM0000143,closed,0.0,20-02-2024 09:35,,20-02-2024 10:23,20-02-2024 10:23,"0,800833333",Software,1.0,SD0116844,,1.0,C00014762,0,800833333
1614,37988,APP000002,application,Citrix,WBS000292,IM0038305,Closed,4,4,4.0,0.73185893,incident,KM0000143,closed,0.0,20-02-2024 08:15,,20-02-2024 09:27,20-02-2024 09:27,"1,19,80,55,556",Software,1.0,SD0116630,,1.0,C00014762,0,711
1616,37696,APP000002,application,Citrix,WBS000292,IM0038012,Closed,4,4,4.0,0.412138507,incident,KM0000143,closed,0.0,19-02-2024 08:25,,19-02-2024 08:37,19-02-2024 08:38,"0,208611111",Software,1.0,SD0115559,,1.0,C00014762,0,208611111
1619,37954,APP000002,application,Citrix,WBS000292,IM0038271,Closed,4,4,4.0,0.132221934,incident,KM0000143,closed,0.0,20-02-2024 08:15,,20-02-2024 09:14,20-02-2024 09:14,"0,977777778",Software,1.0,SD0116525,,1.0,C00014762,0,977777778
1636,37321,APP000002,application,Citrix,WBS000292,IM0037636,Closed,4,4,4.0,0.458511598,incident,KM0000143,closed,0.0,18-02-2024 08:26,,18-02-2024 11:18,18-02-2024 11:18,"2,27,44,44,444",Software,1.0,SD0114188,,1.0,C00014762,0,561
1637,37299,APP000002,application,Citrix,WBS000292,IM0037614,Closed,4,4,4.0,0.479378174,incident,KM0000143,closed,0.0,18-02-2024 09:57,,18-02-2024 10:18,18-02-2024 10:18,"0,348888889",Software,1.0,SD0114651,,1.0,C00014762,0,348888889
1638,37714,APP000002,application,Citrix,WBS000292,IM0038030,Closed,4,4,4.0,0.494276483,incident,KM0000143,closed,0.0,19-02-2024 09:44,,19-02-2024 10:12,19-02-2024 10:12,"0,465",Software,1.0,SD0115620,,1.0,C00014762,0,465
1652,37341,APP000002,application,Citrix,WBS000292,IM0037656,Closed,4,4,4.0,0.261841389,incident,KM0000143,closed,0.0,18-02-2024 09:54,,18-02-2024 10:17,18-02-2024 10:17,"0,392777778",Software,1.0,SD0114600,,1.0,C00014762,0,392777778
1653,37294,APP000002,application,Citrix,WBS000292,IM0037609,Closed,4,4,4.0,0.425054615,incident,KM0000143,closed,0.0,18-02-2024 09:38,,18-02-2024 10:14,18-02-2024 10:14,"0,600833333",Software,1.0,SD0114496,,1.0,C00014762,0,600833333
1654,37989,APP000002,application,Citrix,WBS000292,IM0038306,Closed,4,4,4.0,0.817361915,incident,KM0000143,closed,0.0,20-02-2024 08:23,,20-02-2024 09:36,20-02-2024 09:36,"1,21,55,55,556",Software,1.0,SD0116631,,1.0,C00014762,0,688
1655,37680,APP000002,application,Citrix,WBS000292,IM0037996,Closed,4,4,4.0,0.037211595,incident,KM0000143,closed,0.0,19-02-2024 10:40,,19-02-2024 10:59,19-02-2024 10:59,"0,3175",Software,1.0,SD0115828,,1.0,C00014762,0,3175
2712,30503,ADB000094,database,Database,WBS000253,IM0030787,Closed,3,3,3.0,0.580579748,incident,KM0000966,closed,0.0,24-01-2024 08:36,,24-01-2024 09:44,24-01-2024 09:44,"0,151388889",Other,1.0,SD0093263,,1.0,C00012116,0,151388889
2878,37386,DSK000651,computer,Desktop,WBS000091,IM0037701,Closed,NS,3,,0.226468942,incident,KM0001012,closed,0.0,18-02-2024 11:00,,18-02-2024 11:12,18-02-2024 11:12,"0,195",Software,1.0,SD0114748,,1.0,C00014762,0,195
3419,30358,DTA000588,application,Desktop Application,WBS000135,IM0030642,Closed,NS,3,,0.678495844,incident,KM0000966,closed,0.0,24-01-2024 07:50,,24-01-2024 08:13,24-01-2024 08:14,"0,394444444",Other,1.0,SD0093192,,1.0,C00012116,0,394444444
3545,8288,DTA000616,application,Desktop Application,WBS000092,IM0008450,Closed,4,4,4.0,0.7312576,incident,KM0001127,closed,1.0,28-10-2023 07:58,,29-10-2023 00:22,29-10-2023 00:22,"1,00,31,38,889",Software,1.0,SD0022575,,1.0,C00002375,0,959
3836,41874,DTA000616,application,Desktop Application,WBS000089,IM0042227,Closed,3,3,3.0,0.294689788,incident,KM0000966,closed,1.0,10/3/2024 8:38,,10/3/2024 12:22,10/3/2024 12:22,"3,63,69,44,444",Software,3.0,#MULTIVALUE,13.0,1.0,C00015025,0,623
3940,30265,DTA000616,application,Desktop Application,WBS000089,IM0030549,Closed,4,4,4.0,0.886202466,incident,KM0001278,closed,4.0,23-01-2024 10:42,,23-01-2024 17:13,23-01-2024 17:13,"3,31,52,77,778",Operator error,1.0,SD0092599,,1.0,C00012062,0,941
4069,578,DTA000616,application,Desktop Application,WBS000092,IM0000667,Closed,4,4,4.0,0.354226522,incident,KM0001526,closed,2.0,23-09-2023 14:54,,11/10/2023 12:41,11/10/2023 13:24,"1,05,77,97,222",Other,1.0,SD0000876,,2.0,#MULTIVALUE,0,402
5018,42572,DTA000057,application,Desktop Application,WBS000094,IM0042938,Closed,2,2,2.0,0.884726703,incident,KM0000539,closed,2.0,12/3/2024 9:20,,12/3/2024 15:09,12/3/2024 15:09,"4,61,58,33,333",Software,3.0,#MULTIVALUE,,1.0,C00012923,0,489
5100,37335,DTA000056,application,Desktop Application,WBS000091,IM0037650,Closed,NS,3,,0.397028137,incident,KM0001012,closed,0.0,18-02-2024 09:13,,18-02-2024 10:50,18-02-2024 10:50,"1,62,86,11,111",Software,1.0,SD0114575,,1.0,C00014762,0,271
5150,37490,DTA000056,application,Desktop Application,WBS000091,IM0037805,Closed,3,3,3.0,0.81338776,incident,KM0001012,closed,0.0,18-02-2024 14:20,,18-02-2024 14:26,18-02-2024 14:26,"0,0875",Software,1.0,SD0114934,,1.0,C00014762,0,875
5152,37844,DTA000056,application,Desktop Application,WBS000091,IM0038161,Closed,NS,3,,0.220099908,incident,KM0001012,closed,0.0,19-02-2024 13:42,,19-02-2024 14:15,19-02-2024 14:16,"0,558055556",Software,1.0,SD0116262,,1.0,C00014762,0,558055556
5153,37867,DTA000056,application,Desktop Application,WBS000091,IM0038184,Closed,3,3,3.0,0.045710191,incident,KM0001012,closed,0.0,19-02-2024 14:32,,19-02-2024 17:04,19-02-2024 17:04,"25,425",Software,1.0,SD0116215,,1.0,C00014762,0,450
5156,37421,DTA000056,application,Desktop Application,WBS000091,IM0037736,Closed,NS,3,,0.495337036,incident,KM0001012,closed,0.0,18-02-2024 11:49,,18-02-2024 12:04,18-02-2024 12:04,"0,251944444",Software,1.0,SD0114952,,1.0,C00014762,0,251944444
5159,37914,DTA000056,application,Desktop Application,WBS000091,IM0038231,Closed,3,3,3.0,0.814921924,incident,KM0001012,closed,0.0,20-02-2024 08:54,,20-02-2024 09:24,20-02-2024 09:24,"0,500277778",Software,1.0,SD0116699,,1.0,C00014762,0,500277778
5160,37913,DTA000056,application,Desktop Application,WBS000091,IM0038230,Closed,NS,3,,0.489846295,incident,KM0001012,closed,0.0,20-02-2024 08:50,,20-02-2024 09:45,20-02-2024 09:45,"0,917777778",Software,1.0,SD0116696,,1.0,C00014762,0,917777778
5161,37910,DTA000056,application,Desktop Application,WBS000091,IM0038227,Closed,NS,3,,0.222145267,incident,KM0001012,closed,0.0,20-02-2024 08:41,,20-02-2024 09:41,20-02-2024 09:41,"1,00,55,55,556",Software,1.0,SD0116687,,1.0,C00014762,0,667
5162,37909,DTA000056,application,Desktop Application,WBS000091,IM0038226,Closed,3,3,3.0,0.89108152,incident,KM0001012,closed,0.0,20-02-2024 08:22,,20-02-2024 08:47,20-02-2024 08:48,"0,423888889",Software,1.0,SD0116679,,1.0,C00014762,0,423888889
5168,37143,DTA000056,application,Desktop Application,WBS000091,IM0037457,Closed,3,3,3.0,0.437522488,incident,KM0001012,closed,0.0,17-02-2024 15:46,,18-02-2024 10:19,18-02-2024 10:19,"5,04,61,11,111",Software,1.0,SD0114295,,1.0,C00014762,0,192
5172,37430,DTA000056,application,Desktop Application,WBS000091,IM0037745,Closed,3,3,3.0,0.514200316,incident,KM0001012,closed,0.0,18-02-2024 12:45,,18-02-2024 13:17,18-02-2024 13:17,"0,52",Software,1.0,SD0114973,,1.0,C00014762,0,52
5182,37117,DTA000056,application,Desktop Application,WBS000091,IM0037431,Closed,NS,3,,0.608739283,incident,KM0001012,closed,0.0,18-02-2024 07:31,,19-02-2024 16:49,19-02-2024 16:49,"3,07,86,11,111",Software,1.0,SD0114176,,1.0,C00014762,0,218
5184,37923,DTA000056,application,Desktop Application,WBS000091,IM0038240,Closed,3,3,3.0,0.760610434,incident,KM0001012,closed,0.0,20-02-2024 09:34,,20-02-2024 09:47,20-02-2024 09:47,"0,221666667",Software,1.0,SD0116713,,1.0,C00014762,0,221666667
5191,37257,DTA000056,application,Desktop Application,WBS000091,IM0037572,Closed,NS,3,,0.284162734,incident,KM0001012,closed,0.0,18-02-2024 09:50,,18-02-2024 10:31,18-02-2024 10:31,"0,676944444",Software,1.0,SD0114538,,1.0,C00014762,0,676944444
5193,37255,DTA000056,application,Desktop Application,WBS000091,IM0037570,Closed,NS,3,,0.747132042,incident,KM0001012,closed,0.0,18-02-2024 09:43,,18-02-2024 10:33,18-02-2024 10:33,"0,842777778",Software,1.0,SD0114542,,1.0,C00014762,0,842777778
5205,37244,DTA000056,application,Desktop Application,WBS000091,IM0037559,Closed,3,3,3.0,0.66368032,incident,KM0001012,closed,0.0,18-02-2024 08:29,,18-02-2024 10:17,18-02-2024 10:21,"1,87,11,11,111",Software,1.0,SD0114350,,1.0,C00014762,0,221
5206,37323,DTA000056,application,Desktop Application,WBS000091,IM0037638,Closed,3,3,3.0,0.05663421,incident,KM0001012,closed,0.0,18-02-2024 08:41,,18-02-2024 10:22,18-02-2024 10:22,"1,68,94,44,444",Software,1.0,SD0114191,,1.0,C00014762,0,651
5208,37322,DTA000056,application,Desktop Application,WBS000091,IM0037637,Closed,3,3,3.0,0.616510973,incident,KM0001012,closed,0.0,18-02-2024 08:38,,18-02-2024 10:13,18-02-2024 10:13,"0,845277778",Software,1.0,SD0114195,,1.0,C00014762,0,845277778
5213,37235,DTA000056,application,Desktop Application,WBS000091,IM0037550,Closed,3,3,3.0,0.478068677,incident,KM0001012,closed,0.0,18-02-2024 08:55,,18-02-2024 10:52,18-02-2024 10:52,"1,94,58,33,333",Software,1.0,SD0114374,,1.0,C00014762,0,519
5214,37289,DTA000056,application,Desktop Application,WBS000091,IM0037604,Closed,3,3,3.0,0.780925201,incident,KM0001012,closed,0.0,18-02-2024 09:10,,18-02-2024 13:25,18-02-2024 13:25,"4,23,94,44,444",Software,1.0,SD0114475,,1.0,C00014762,0,609
5232,37276,DTA000056,application,Desktop Application,WBS000091,IM0037591,Closed,3,3,3.0,0.069372289,incident,KM0001012,closed,0.0,18-02-2024 11:45,,18-02-2024 14:27,18-02-2024 14:27,"2,70,61,11,111",Software,1.0,SD0114856,,1.0,C00014762,0,255
5234,37249,DTA000056,application,Desktop Application,WBS000091,IM0037564,Closed,3,3,3.0,0.414939094,incident,KM0001012,closed,0.0,18-02-2024 09:08,,18-02-2024 11:27,18-02-2024 11:27,"2,30,63,88,889",Software,1.0,SD0114513,,1.0,C00014762,0,1072
5235,37324,DTA000056,application,Desktop Application,WBS000091,IM0037639,Closed,NS,3,,0.838917618,incident,KM0001012,closed,0.0,18-02-2024 08:46,,18-02-2024 10:23,18-02-2024 10:23,"1,62,19,44,444",Software,2.0,#MULTIVALUE,,1.0,C00014762,0,570
5240,38001,DTA000056,application,Desktop Application,WBS000091,IM0038318,Closed,NS,3,,0.74354657,incident,KM0001012,closed,0.0,20-02-2024 08:34,,20-02-2024 09:32,20-02-2024 09:32,"0,958055556",Software,1.0,SD0116586,,1.0,C00014762,0,958055556
5244,37389,DTA000056,application,Desktop Application,WBS000091,IM0037704,Closed,3,3,3.0,0.646001387,incident,KM0001012,closed,0.0,18-02-2024 11:21,,18-02-2024 11:51,18-02-2024 11:51,"0,501111111",Software,1.0,SD0114756,,1.0,C00014762,0,501111111
5246,38113,DTA000056,application,Desktop Application,WBS000091,IM0038431,Closed,3,3,3.0,0.6524987,incident,KM0001012,closed,0.0,20-02-2024 11:34,,20-02-2024 11:41,20-02-2024 11:41,"0,117777778",Software,1.0,SD0116992,,1.0,C00014762,0,117777778
5248,37397,DTA000056,application,Desktop Application,WBS000091,IM0037712,Closed,3,3,3.0,0.604063548,incident,KM0001012,closed,0.0,18-02-2024 12:11,,18-02-2024 13:47,18-02-2024 13:47,"1,61,02,77,778",Software,1.0,SD0114782,,1.0,C00014762,0,919
5250,37984,DTA000056,application,Desktop Application,WBS000091,IM0038301,Closed,3,3,3.0,0.658885154,incident,KM0001012,closed,0.0,19-02-2024 17:03,,19-02-2024 17:45,19-02-2024 17:45,"0,699722222",Software,1.0,SD0116619,,1.0,C00014762,0,699722222
5255,38068,DTA000056,application,Desktop Application,WBS000091,IM0038386,Closed,3,3,3.0,0.878516206,incident,KM0001012,closed,0.0,20-02-2024 11:35,,20-02-2024 11:47,20-02-2024 11:48,"0,207777778",Software,1.0,SD0117127,,1.0,C00014762,0,207777778
5260,37334,DTA000056,application,Desktop Application,WBS000091,IM0037649,Closed,3,3,3.0,0.203737209,incident,KM0001012,closed,0.0,18-02-2024 09:12,,18-02-2024 10:27,18-02-2024 10:27,"1,25,94,44,444",Software,1.0,SD0114574,,1.0,C00014762,0,608
5276,37719,DTA000056,application,Desktop Application,WBS000091,IM0038035,Closed,3,3,3.0,0.315825634,incident,KM0001012,closed,0.0,19-02-2024 10:10,,19-02-2024 10:47,19-02-2024 10:47,"0,620833333",Software,1.0,SD0115632,,1.0,C00014762,0,620833333
5291,36773,DTA000056,application,Desktop Application,WBS000091,IM0037086,Closed,5,5,5.0,0.867558922,incident,KM0001012,closed,0.0,17-02-2024 08:42,,18-02-2024 12:30,18-02-2024 12:30,"1,19,30,55,556",Software,1.0,SD0113337,,1.0,C00014762,0,661
5294,37823,DTA000056,application,Desktop Application,WBS000091,IM0038140,Closed,3,3,3.0,0.116278581,incident,KM0001012,closed,0.0,19-02-2024 11:54,,19-02-2024 16:11,19-02-2024 16:11,"1,46,97,22,222",Software,1.0,SD0115919,,1.0,C00014762,0,388
5296,36777,DTA000056,application,Desktop Application,WBS000091,IM0037090,Closed,5,5,5.0,0.407700871,incident,KM0001012,closed,0.0,17-02-2024 08:51,,18-02-2024 10:10,18-02-2024 10:10,"1,18,125",Software,1.0,SD0113353,,1.0,C00014762,0,144
5298,37822,DTA000056,application,Desktop Application,WBS000091,IM0038139,Closed,3,3,3.0,0.094937048,incident,KM0001012,closed,0.0,19-02-2024 11:52,,19-02-2024 13:28,19-02-2024 13:28,"1,61,05,55,556",Software,1.0,SD0115918,,1.0,C00014762,0,678
5300,39802,DTA000056,application,Desktop Application,WBS000091,IM0040136,Closed,3,3,3.0,0.125707846,incident,KM0001012,closed,0.0,27-02-2024 12:11,,27-02-2024 13:52,27-02-2024 13:52,"1,69,08,33,333",Software,1.0,SD0122585,,1.0,C00014762,0,444
5301,37039,DTA000056,application,Desktop Application,WBS000091,IM0037353,Closed,3,3,3.0,0.594555228,incident,KM0001012,closed,0.0,17-02-2024 13:01,,18-02-2024 08:40,18-02-2024 08:41,"6,16,41,66,667",Other,1.0,SD0113762,,1.0,C00014762,0,796
5305,37695,DTA000056,application,Desktop Application,WBS000091,IM0038011,Closed,NS,3,,0.528556929,incident,KM0001012,closed,0.0,19-02-2024 08:18,,19-02-2024 08:30,19-02-2024 08:30,"0,206111111",Software,1.0,SD0115482,,1.0,C00014762,0,206111111
5306,37526,DTA000056,application,Desktop Application,WBS000091,IM0037841,Closed,3,3,3.0,0.869484774,incident,KM0001012,closed,0.0,18-02-2024 15:05,,18-02-2024 15:37,18-02-2024 15:37,"0,537777778",Software,1.0,SD0115157,,1.0,C00014762,0,537777778
5321,39011,DTA000056,application,Desktop Application,WBS000091,IM0039337,Closed,3,3,3.0,0.081518309,incident,KM0001012,closed,0.0,25-02-2024 09:06,,25-02-2024 10:26,25-02-2024 10:29,"1,39,08,33,333",Software,1.0,SD0119775,,1.0,C00014762,0,414
5323,37343,DTA000056,application,Desktop Application,WBS000091,IM0037658,Closed,3,3,3.0,0.513472228,incident,KM0001012,closed,0.0,18-02-2024 10:10,,18-02-2024 11:45,18-02-2024 11:45,"1,57,77,77,778",Software,1.0,SD0114609,,1.0,C00014762,0,990
5326,37359,DTA000056,application,Desktop Application,WBS000091,IM0037674,Closed,3,3,3.0,0.125075841,incident,KM0001012,closed,0.0,18-02-2024 12:33,,18-02-2024 13:20,18-02-2024 13:20,"0,795833333",Software,1.0,SD0114898,,1.0,C00014762,0,795833333
5339,37621,DTA000056,application,Desktop Application,WBS000091,IM0037936,Closed,NS,3,,0.710942731,incident,KM0001012,closed,0.0,19-02-2024 10:23,,19-02-2024 10:54,19-02-2024 10:54,"0,509444444",Software,1.0,SD0115706,,1.0,C00014762,0,509444444
5341,37281,DTA000056,application,Desktop Application,WBS000091,IM0037596,Closed,NS,3,,0.862658366,incident,KM0001012,closed,0.0,18-02-2024 07:48,,18-02-2024 11:59,18-02-2024 11:59,"0,676388889",Software,1.0,SD0114441,,1.0,C00014762,0,676388889
5343,37514,DTA000056,application,Desktop Application,WBS000091,IM0037829,Closed,3,3,3.0,0.95525494,incident,KM0001012,closed,0.0,18-02-2024 13:44,,18-02-2024 13:52,18-02-2024 13:52,"0,135",Software,1.0,SD0115107,,1.0,C00014762,0,135
5345,37829,DTA000056,application,Desktop Application,WBS000091,IM0038146,Closed,3,3,3.0,0.29634688,incident,KM0001012,closed,0.0,19-02-2024 12:24,,19-02-2024 13:08,19-02-2024 13:08,"0,739166667",Software,1.0,SD0115934,,1.0,C00014762,0,739166667
5363,37659,DTA000056,application,Desktop Application,WBS000091,IM0037975,Closed,3,3,3.0,0.363117174,incident,KM0001012,closed,0.0,19-02-2024 08:38,,19-02-2024 11:02,19-02-2024 11:02,"2,40,61,11,111",Software,1.0,SD0115506,,1.0,C00014762,0,225
5383,37827,DTA000056,application,Desktop Application,WBS000091,IM0038144,Closed,3,3,3.0,0.712883634,incident,KM0001012,closed,0.0,19-02-2024 12:21,,19-02-2024 13:20,19-02-2024 13:20,"0,978888889",Software,1.0,SD0115933,,1.0,C00014762,0,978888889
5385,37814,DTA000056,application,Desktop Application,WBS000091,IM0038131,Closed,3,3,3.0,0.254466112,incident,KM0001012,closed,0.0,19-02-2024 15:20,,19-02-2024 17:35,19-02-2024 17:36,"2,26,02,77,778",Software,1.0,SD0116419,,1.0,C00014762,0,885
5397,37546,DTA000056,application,Desktop Application,WBS000091,IM0037861,Closed,3,3,3.0,0.393056172,incident,KM0001012,closed,0.0,18-02-2024 14:52,,18-02-2024 16:01,18-02-2024 16:01,"0,684444444",Software,1.0,SD0115196,,1.0,C00014762,0,684444444
5488,37062,DTA000056,application,Desktop Application,WBS000091,IM0037376,Closed,3,3,3.0,0.691240297,incident,KM0001012,closed,0.0,17-02-2024 14:53,,18-02-2024 10:03,18-02-2024 10:03,"5,67,72,22,222",Software,1.0,SD0113821,,1.0,C00014762,0,388
5523,37282,DTA000056,application,Desktop Application,WBS000091,IM0037597,Closed,3,3,3.0,0.868219924,incident,KM0001012,closed,0.0,18-02-2024 08:06,,18-02-2024 10:28,18-02-2024 10:28,"2,37,16,66,667",Software,1.0,SD0114444,,1.0,C00014762,0,788
5669,261,DTA000033,application,Desktop Application,WBS000234,IM0000326,Closed,5,4,4.0,0.658307667,incident,KM0001093,closed,1.0,26-08-2023 13:07,,3/10/2023 14:41,3/10/2023 14:42,"5,62,00,55,556",Hardware,1.0,SD0000502,,1.0,C00000510,0,678
6126,39215,DTA000056,application,Desktop Application,WBS000091,IM0039542,Closed,3,3,3.0,0.590561532,incident,KM0001012,closed,0.0,25-02-2024 14:24,,25-02-2024 17:39,25-02-2024 17:39,"3,24,80,55,556",Software,1.0,SD0120649,,1.0,C00014762,0,718
6268,26164,DTA000025,application,Desktop Application,WBS000110,IM0026431,Closed,3,3,3.0,0.037292116,incident,KM0000833,closed,1.0,8/1/2024 8:57,,14-01-2024 08:24,14-01-2024 08:24,"4,08,20,55,556",Data,1.0,SD0079064,,1.0,C00010740,0,643
6427,507,DTA000024,application,Desktop Application,WBS000093,IM0000593,Closed,4,4,4.0,0.140013062,incident,KM0000337,closed,6.0,19-09-2023 13:16,,4/10/2023 13:41,4/10/2023 13:42,"3,16,47,22,222",Other,1.0,SD0000804,,1.0,C00002078,0,310
7048,45411,DTA000024,application,Desktop Application,WBS000092,IM0045838,Closed,2,3,2.0,0.427608194,incident,KM0000343,closed,1.0,25-03-2024 11:56,,26-03-2024 08:10,26-03-2024 08:11,"7,16,91,66,667",Software,34.0,#MULTIVALUE,15.0,1.0,C00018403,0,847
7113,16081,DTA000016,application,Desktop Application,WBS000096,IM0016295,Closed,4,4,4.0,0.153192694,incident,KM0001026,closed,1.0,25-11-2023 10:45,,2/12/2023 10:42,2/12/2023 10:42,"52,455",Software,42.0,#MULTIVALUE,4.0,1.0,C00002378,0,507
7168,37723,ESC000075,computer,ESX Cluster,WBS000102,IM0038039,Closed,NS,3,,0.670550919,incident,KM0000329,closed,0.0,19-02-2024 10:38,,24-02-2024 17:08,24-02-2024 17:08,"2,92,08,33,333",Software,1.0,SD0115877,11.0,1.0,C00014981,0,468
7170,4643,ESC000075,computer,ESX Cluster,WBS000102,IM0004772,Closed,5,5,5.0,0.879668274,incident,KM0000329,closed,0.0,11/10/2023 14:03,,,11/10/2023 14:13,"0,160277778",Operator error,1.0,SD0011587,,1.0,C00002301,0,160277778
